江西电信频道,#genre#
CCTV-8 电视剧,rtsp://115.153.233.154/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.233.154/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8 电视剧,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8 电视剧,rtsp://115.153.245.70/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.245.70/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8 电视剧,rtsp://115.153.247.80/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.247.80/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8 电视剧,rtsp://115.153.254.81/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.254.81/PLTV/88888888/224/3221226911/65406606.smil
CCTV-9 纪录,http://115.153.212.72/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.222.112/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.230.145/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.240.228/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.245.70/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.247.80/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,http://115.153.254.81/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,rtsp://115.153.212.72/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.230.145/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.245.70/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.247.80/PLTV/88888888/224/3221226840/59814699.smil
CCTV-9 纪录,rtsp://115.153.254.81/PLTV/88888888/224/3221226840/59814699.smil
CCTV-10 科教,http://115.153.212.72/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.222.112/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.230.145/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.233.154/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.240.228/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.245.70/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.247.80/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.254.81/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
